sequence,state
0,0
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,1
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,0
207,0
208,1
209,1
210,0
211,0
212,0
213,0
214,1
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,1
267,0
268,1
269,1
270,0
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,0
279,1
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,1
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,1
445,0
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,1
483,1
484,1
485,0
486,1
487,0
488,1
489,0
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,0
504,1
505,1
506,0
507,1
508,0
509,1
510,1
511,0
512,0
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,1
533,1
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,0
544,0
545,0
546,0
547,1
548,0
549,1
550,0
551,0
552,1
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,1
561,0
562,0
563,0
564,0
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,1
573,1
574,0
575,0
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,1
598,1
599,0
600,0
601,0
602,1
603,0
604,1
605,0
606,0
607,0
608,0
609,0
610,1
611,1
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,0
629,1
630,0
631,0
632,0
633,1
634,0
635,1
636,1
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,0
648,1
649,1
650,1
651,1
652,0
653,0
654,1
655,0
656,0
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,0
665,1
666,1
667,1
668,1
669,0
670,1
671,0
672,0
673,0
674,1
675,1
676,1
677,1
678,0
679,1
680,1
681,1
682,0
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,1
691,1
692,1
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,1
701,1
702,1
703,0
704,0
705,1
706,0
707,0
708,1
709,1
710,0
711,0
712,1
713,0
714,0
715,0
716,1
717,1
718,0
719,0
720,1
721,0
722,0
723,1
724,0
725,0
726,0
727,1
728,1
729,1
730,0
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,0
742,0
743,1
744,1
745,1
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,0
754,1
755,0
756,0
757,1
758,1
759,1
760,1
761,0
762,0
763,0
764,1
765,0
766,0
767,0
768,0
769,1
770,1
771,1
772,1
773,1
774,0
775,0
776,0
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,1
793,1
794,1
795,1
796,0
797,1
798,1
799,0
800,0
801,0
802,0
803,0
804,1
805,0
806,1
807,0
808,1
809,0
810,1
811,1
812,0
813,1
814,1
815,0
816,0
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,0
828,1
829,1
830,1
831,1
832,0
833,1
834,1
835,1
836,0
837,0
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,0
846,0
847,0
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,0
860,1
861,1
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,1
870,1
871,1
872,0
873,1
874,1
875,0
876,1
877,1
878,0
879,1
880,1
881,1
882,1
883,0
884,0
885,1
886,0
887,1
888,0
889,1
890,0
891,0
892,0
893,0
894,0
895,1
896,1
897,0
898,0
899,0
900,0
901,0
902,1
903,1
904,0
905,1
906,1
907,0
908,1
909,0
910,1
911,0
912,1
913,1
914,1
915,0
916,1
917,0
918,1
919,0
920,0
921,1
922,1
923,0
924,0
925,0
926,0
927,1
928,0
929,1
930,0
931,0
932,1
933,1
934,0
935,1
936,1
937,1
938,0
939,1
940,0
941,0
942,1
943,0
944,1
945,0
946,1
947,1
948,0
949,1
950,0
951,0
952,1
953,0
954,1
955,1
956,1
957,1
958,0
959,0
960,1
961,1
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,0
970,0
971,1
972,0
973,0
974,1
975,1
976,1
977,0
978,0
979,1
980,1
981,0
982,1
983,0
984,0
985,1
986,1
987,0
988,0
989,1
990,1
991,1
992,1
993,0
994,1
995,0
996,0
997,1
998,1
999,0
1000,1
1001,1
1002,1
1003,0
1004,1
1005,0
1006,0
1007,1
1008,1
1009,0
1010,0
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,0
1026,1
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,1
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0
1060,0
